,assignment_number,comments,skill,participant_id,batch,grade
0,18.0,The code use meaningful identifier names and are organized in a way that makes the logical flow of operations somewhat easy to follow. ,Readability,15,1,B+
1,620.0,Code is well organized into logical classes and methods. Indentation and whitespace is used consistently. Variable and method names are clear and meaningful. Methods are focused on single responsibilities. Access modifiers are appropriately used to encapsulate data.,Readability,15,1,A+
2,466.0,"The code is well-organized, consistently indented, and uses meaningful names, whitespace and consistent spacing. Methods are focused and classes encapsulate data and behavior appropriately. This makes the overall program quite easy to read and understand.",Readability,15,1,A-
3,591.0,The code is well organized and readable. Indentation and whitespace are used consistently. Variable and method names are clear and meaningful. ,Readability,15,1,A-
4,587.0,The code is well organized and readable. Indentation and whitespace are used consistently. Variable and method names are clear and meaningful. ,Readability,15,1,A-
5,50.0,"The code is well-organized, consistently indented, and uses meaningful names, whitespace and consistent spacing. Methods are focused and classes encapsulate data and behavior appropriately. This makes the overall program quite easy to read and understand.",Readability,15,1,A
6,655.0,"The code is well organized and easy to understand. Good use of meaningful class, variable and method names. Indentation and whitespace is used consistently. Some longer methods could potentially be refactored into smaller single-purpose methods to further enhance readability.",Readability,15,1,A
7,47.0,"The code is well-organized, consistently indented, and easy to follow. Class and method names are meaningful. Whitespace is used well to separate logical blocks.",Readability,15,1,A
8,262.0,"The code is well organized and easy to understand. Good use of meaningful class, variable and method names. Indentation and whitespace is used consistently. Some longer methods could potentially be refactored into smaller single-purpose methods to further enhance readability.",Readability,15,1,A
9,2.0,"The code is exceptionally organized and easy to follow. Your consistent use of indentation, meaningful variable names, and logical structuring of blocks enhances readability significantly.",Readability,15,1,A
10,400.0,Code is well-formatted with consistent indentation and whitespace usage. Methods are focused and names are meaningful. Public vs private access is used appropriately. The code is easy to follow and self-explanatory.,Readability,15,1,A+
11,525.0,"The code is well organized and easy to follow. Good naming conventions are used for classes, methods and variables. Indentation and whitespace are used consistently. A few very long methods could benefit from being broken up for better readability.",Readability,15,1,A-
12,358.0,The code is generally clean and organized with consistent indentation and spacing. Meaningful variable and method names are used.,Readability,15,1,A-
13,137.0,"The code is exceptionally well organized and very easy to read. Indentation and whitespace is used consistently and appropriately. Method and variable names are meaningful (e.g. getID(), giveBirth()). Comments are present to explain important sections without being excessive. Overall the code is very clean and easy to follow.",Readability,15,1,A+
14,125.0,The code is well organized into logical classes and methods with clear names. Indentation and whitespace are used consistently to separate code blocks. Lines are not excessively long. ,Readability,15,1,A
15,58.0,The code is generally readable and well-organized. Class and variable names are meaningfu. Related code is typically grouped together logically within each class. Indentation and whitespace are used consistently.,Readability,15,1,A-
16,353.0,"The code is generally well organized and readable. Class, method, and variable names are descriptive. Indentation and white space are used consistently. A few methods are on the longer side and could potentially be refactored into sub-methods to improve readability.",Readability,15,1,B+
17,422.0,The code is well-organized and easy to understand. Classes are separated into logical files. Naming of variables and methods is generally clear and meaningful. Indentation and whitespace usage is mostly consistent. Some longer methods could benefit from more explanatory comments or being broken into smaller sub-methods. ,Readability,15,1,A
18,480.0,"The code formatting is decent, with consistent indentation and spacing. Meaningful names are used for variables and methods. The code is organized logically and is fairly easy to follow.",Readability,15,1,B+
19,334.0,The application is exceptionally well organized and very easy to understand. Indentation and whitespace are used consistently and appropriately. Method and variable names are meaningful. Comments are used effectively to explain less obvious code. The code follows Java conventions and is easily readable.,Readability,15,1,A+
0,18.0,"The core requirements like having 5+ species with predators, prey, plants, gender, and day/night behavior seem met based on the code. The challenge mission was completed well.",Correctness,15,1,A-
1,620.0,"Excellent work on completing all core and challenge tasks. The simulation includes at least 5 acting species (Jaguar, Lion, Cheetah, Gazelle, Zebra), with at least 2 predators (Jaguar, Lion, Cheetah) and 2 non-predators (Gazelle, Zebra). The Lion and Cheetah compete for Gazelles as a shared food source. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked, with some behaviors differing between day and night. The graphical interface  is impressive! I like the useful buttons provided, especially the ""Reset"" button to easily restart the simulation.",Correctness,15,1,A+
2,466.0,"The core requirements like having 5+ species with predators, prey, plants, gender, and day/night behavior seem met based on the code. The challenge mission was completed well.",Correctness,15,1,B+
3,591.0,"The core requirements appear to be mostly implemented based on the code. The simulation includes at least 5 acting species (Wolf, Hawk, Squirrel, Chicken, Frog), with 2 predators (Wolf, Hawk) and 3 non-predators (Squirrel, Chicken, Frog). The Wolf and Hawk compete for Squirrels and Chickens as shared food sources. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked in hours. The requirements also mention creatures exhibiting different behavior depending on time of day, such as sleeping at night. The time tracking logic is there, but it isn't being used to modify behavior yet.",Correctness,15,1,B+
4,587.0,"Excellent work on completing all core and challenge tasks. Your implementation of the simulation, including at least five different kinds of acting species, competition for food sources, and the distinction of gender for breeding purposes, demonstrates a deep understanding of the project requirements. The addition of day/night cycles and weather effects further enriches the simulation's complexity and realism.",Correctness,15,1,A
5,50.0,"Excellent work on completing all the core tasks and implementing several challenge tasks! The simulation includes at least 5 acting species (Bird, Grass, Frog, GrassHopper, Snake, Hawk, Caterpillar) with multiple predators (Bird, Frog, Snake, Hawk) and non-predators (GrassHopper, Caterpillar). Birds and Frogs compete for GrassHoppers and Caterpillars as shared food sources. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked, with sleeping behavior differing based on time. Weather effects are impressively modeled - ponds can dynamically generate and evaporate based on rainy or sunny conditions. Plant growth is also tied to weather.",Correctness,15,1,A+
6,655.0,"All base tasks are completed, with at least five different acting species (Zebra, Giraffe, Lemur, Lion, Cheetah), including two predators (Lion, Cheetah) and non-predators. The Lion and Cheetah compete for the same food sources. Genders are distinguished and creatures can only propagate when a male and female meet. Time of day is tracked and some creatures exhibit different behaviors at night. The student also implemented weather as a challenge task which influences animal behavior.",Correctness,15,1,A+
7,47.0,"The simulation appears to be working as described in the assignment. All base tasks are completed, including at least 5 acting species (Tiger, Lion, Hyena, Antelope, Zebra), with at least 2 predators (Tiger, Lion, Hyena) and 2 non-predators (Antelope, Zebra). Tigers and Lions compete for Antelopes as a shared food source. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked, with some behaviors differing between day and night (e.g. some animals sleep at night). Multiple challenging extension tasks were implemented as well, including plants that grow and can be eaten by some animals, weather that changes and impacts animal behavior and plant growth, and disease that can spread between animals. The graphical simulation interface looks great and provides useful stats.",Correctness,15,1,A+
8,262.0,"The core requirements like having 5+ species with predators, prey, plants, gender, and day/night behavior seem met based on the code. The challenge mission was completed well.",Correctness,15,1,A+
9,2.0,"Excellent work on completing all core and challenge tasks. Your implementation of the simulation, including at least five different kinds of acting species, competition for food sources, and the distinction of gender for breeding purposes, demonstrates a deep understanding of the project requirements. But the Fox and Rabbit was not replaced with different kinds of predators and prey in the basic mission. The addition of day/night cycles and weather effects further enriches the simulation's complexity and realism.",Correctness,15,1,A-
10,400.0,"The simulation meets all the core requirements as outlined in the assignment. It includes at least 5 acting species (Lynx, Wolf, Deer, Hamster, Plant), with Lynx and Wolf as predators and Deer and Hamster as non-predators. The Lynx and Wolf compete for Deer as a shared food source. The species distinguish males and females which must meet to propagate. Time of day is tracked, with nocturnal vs diurnal behavior for different species.

In addition, several challenge tasks were implemented to a high standard, demonstrating originality and technical excellence. Weather effects impact animal breeding and plant growth. Diseases like WolfFlu and AnimalFlu can infect animals and spread between them.",Correctness,15,1,A
